Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,24,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,18,2006,4,2,170,1.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
3,Tyler Adams,us USA,MF,Bournemouth,25,1999,28,21,1965,21.8,0,3,3,0,0,0,7,0,0.00,0.14,0.14,0.00,0.14,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,26,1997,22,15,1409,15.7,1,1,2,1,0,0,4,0,0.06,0.06,0.13,0.06,0.13,Matches
5,Simon Adingra,ci CIV,MF,Brighton,22,2002,29,12,1097,12.2,2,2,4,2,0,0,0,0,0.16,0.16,0.33,0.16,0.33,Matches
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27,1997,16,16,1410,15.7,1,0,1,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches
7,Asher Agbinone,eng ENG,MF,Crystal Palace,18,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
8,Ola Aina,ng NGA,DF,Nottingham Forest,27,1996,35,35,2995,33.3,2,1,3,2,0,0,5,0,0.06,0.03,0.09,0.06,0.09,Matches
9,Rayan Aït-Nouri,dz ALG,"MF,DF",Wolves,23,2001,37,37,3109,34.5,4,7,11,4,0,0,7,1,0.12,0.20,0.32,0.12,0.32,Matches
10,Kristoffer Ajer,no NOR,DF,Brentford,26,1998,24,17,1438,16.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
11,Manuel Akanji,ch SUI,"DF,MF",Manchester City,29,1995,26,23,2014,22.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
12,Nathan Aké,nl NED,DF,Manchester City,29,1995,10,8,678,7.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Carlos Alcaraz,ar ARG,MF,Southampton,21,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
14,Carlos Alcaraz,ar ARG,MF,Everton,21,2002,15,7,764,8.5,2,3,5,2,0,0,4,0,0.24,0.35,0.59,0.24,0.59,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,25,1998,33,28,2365,26.3,3,6,9,3,0,0,5,0,0.11,0.23,0.34,0.11,0.34,Matches
16,Alisson,br BRA,GK,Liverpool,31,1992,28,28,2508,27.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
17,Miguel Almirón,py PAR,FW,Newcastle United,30,1994,9,1,157,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
18,Olabade Aluko,,DF,Leicester City,,,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
19,Edson Álvarez,mx MEX,MF,West Ham United,26,1997,28,20,1772,19.7,0,1,1,0,0,0,9,1,0.00,0.05,0.05,0.00,0.05,Matches
20,Will Alves,eng ENG,MF,Leicester City,19,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
